"","  ACC.Tf-Pf","  ACC.Tf-Pm"
"","Min.   :0.7000  ","Min.   :0.7800  "
"","1st Qu.:0.9700  ","1st Qu.:0.9600  "
"","Median :1.0000  ","Median :1.0000  "
"","Mean   :0.9712  ","Mean   :0.9686  "
"","3rd Qu.:1.0000  ","3rd Qu.:1.0000  "
"","Max.   :1.0000  ","Max.   :1.0000  "
